pos,bib,name,team,category,rank,nationality,time,timediff,Col de Voza,Les Contamines,La Balme,Refuge Croix du Bonhomme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Arête Mont-Favre,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Peulaz,La Fouly,Praz de Fort,Champex Lac,Bovine,Trient,Les Tseppes,Vallorcine,Argentière,Chamonix - Arrivée,col de voza_pos,les contamines_pos,la balme_pos,refuge croix du bonhomme_pos,les chapieux ccas_pos,col de la seigne_pos,refuge elisabetta_pos,arête mont-favre_pos,col chécrouit - maison vieille_pos,courmayeur - dolonne_pos,refuge bertone_pos,refuge bonatti_pos,arnuva_pos,grand col ferret_pos,la peulaz_pos,la fouly_pos,praz de fort_pos,champex lac_pos,bovine_pos,trient_pos,les tseppes_pos,vallorcine_pos,argentière_pos,chamonix - arrivée_pos
0,3,OLMO Marco,M&amp;AMP;P RISK AGENCI,V2 H,1,IT,21:06:06,00:00:00.000000,1925,714,679,381,622,731,765,820,1016,28645,931,1059,1196,1130,,1210,1318,1014,0,0,58891,0,0,0,1703,8,2,3,3,2,3,3,3,22,3,3,3,3,-1,3,3,3,1,1,34,1,1,1
1,3021,NEMETH Csaba,E.G. MOUNTEX,SE H,2,HU,21:37:32,00:31:26.000000,1680,187,0,26,128,0,10,43,252,28152,15,121,199,324,,626,722,550,349,777,59952,1804,1880,1886,8,1919,1916,2,112,3,2,2,2,25,2,2,2,2,-1,2,2,2,2,2,3,2,2,2
2,2,DELEBARRE Vincent,TRAILERS DU MONT BLANC - CMBM - QUECHUA - EMHM - CMBM,SE H,3,FR,21:59:29,00:53:23.000000,1836,272,242,0,0,157,0,0,0,27798,0,0,0,0,,0,0,0,702,3129,18840,3741,3557,3203,1907,7,8,559,1915,1888,1595,1,1896,19,1,1,1,1,-1,1,1,1,3,3,1,3,3,3
3,3277,LUKAS Jens,LSG KARLSRUHE,V1 H,4,DE,22:15:15,01:09:09.000000,2231,1166,1659,1914,2312,3275,3313,3857,4013,31755,4351,3984,3981,4210,,4128,4200,4201,4193,4383,63268,4254,4195,4149,2,1914,6,555,2,1,1,1871,1,1888,9,9,9,8,-1,8,4,4,4,4,2,4,4,4
4,5,MILLET Guillaume,,SE H,5,FR,22:54:11,01:48:05.000000,2077,1100,1380,1240,1503,2155,2299,2654,2773,30468,2993,3125,3181,3566,,3976,4202,4236,4661,5122,64271,5703,5986,6485,6,6,3,8,8,1905,1609,1888,1913,29,8,8,8,9,-1,5,5,5,5,5,4,5,5,5
5,14,GRIVEL Stephane,CHEVALIERS DU VENT,SE H,6,FR,23:25:06,02:19:00.000000,1680,182,164,455,916,2635,2967,3777,4230,122,5125,5188,5528,5881,,6356,6286,6673,7490,7592,66554,7862,8167,8340,1912,2,9,1,1898,8,8,8,8,81,5,5,5,5,-1,4,8,8,8,7,5,7,7,6
6,23,STAUB Vincent,LES TROTTEURS,SE H,7,CH,23:26:38,02:20:32.000000,1694,90,537,675,1081,1889,2072,2300,2636,30382,3397,3715,3779,4188,,4537,5175,5158,5863,6431,65590,7342,8027,8432,7,12,112,6,1,111,1429,9,1709,20,7,7,7,7,-1,7,7,7,7,8,7,6,6,7
7,1669,MERMOUD Nicolas,ELIX,V1 H,8,FR,23:40:36,02:34:30.000000,1615,0,162,158,257,1182,1220,1559,1830,29553,2456,3014,2942,3228,,3794,4882,5005,5842,6755,66439,7924,8658,9270,1213,3,1898,527,1711,9,9,1689,9,28,112,4,4,4,-1,9,9,9,9,9,8,8,8,8
8,1002,OULEDI WILFRID,TESB,SE H,9,FR,23:42:56,02:36:50.000000,1783,273,367,525,959,1469,1576,1942,2323,30344,2426,2584,2695,3419,,4558,5346,5643,6699,7343,66731,8609,8798,9410,12,9,7,9,6,1701,112,1211,7,1156,39,39,10,39,-1,10,10,10,10,6,6,9,9,9
9,2608,LLONCH CASASAMPERA Enric,CENTRE EXCURSIONISTA TORELLO,SE H,10,ES,23:53:02,02:46:56.000000,2238,1165,1372,1245,1670,2369,2597,3249,3599,31335,4032,4049,4314,5079,,5660,5906,6029,6943,7925,67340,8670,9365,10016,9,1896,1711,7,9,1210,1011,7,1217,131,1706,10,39,10,-1,11,6,6,6,10,9,10,10,10
10,89,BAUD Patrice,,V1 H,11,FR,23:56:43,02:50:37.000000,2279,1068,1942,1983,2155,3224,3107,3383,3597,31247,4961,5146,5167,5730,,5789,6897,6958,7933,8547,67891,9234,9849,10237,1889,1709,12,404,7,7,7,112,111,104,10,15,15,15,-1,39,39,12,12,12,10,12,11,11
11,983,SERAZIN Johan,LEGENDRE BRETAGNE,SE H,12,FR,24:03:11,02:57:05.000000,1724,265,584,763,1349,2668,2993,3770,4239,121,5335,5471,5910,6257,,6661,6998,6916,7513,8280,67809,9232,10068,10625,112,112,39,12,1219,39,5,39,5,36,15,57,57,57,-1,57,11,11,11,11,12,11,12,12
12,2134,JOSE LUIS ALBIZURI BERISTAIN,LAGUN ONAK MB,V1 H,13,Es,24:07:38,03:01:32.000000,2652,1967,2455,2604,3237,3931,4233,4722,5184,122,6417,6458,6730,7044,,7549,7978,8036,8623,9380,68840,10387,10484,10892,3,1415,1,39,12,5,39,5,39,14,4,1158,1157,11,-1,15,12,39,15,15,11,13,13,13
13,2518,PYKE Stephen,STAFFORDSHIRE MOORLANDS,V1 H,14,GB,24:14:20,03:08:14.000000,2387,1671,2189,2589,3005,4015,4225,4884,5416,120,6157,6138,6607,7511,,9041,10085,10441,10516,10993,69948,10954,11455,11294,2462,39,1418,618,39,10,57,42,57,1155,57,11,11,6,-1,6,1097,15,13,13,13,18,15,14
14,1672,GIRARD Matthieu,UFO,SE H,15,CH,24:21:40,03:15:34.000000,2235,1066,1575,1741,2216,3003,3083,3313,3596,,4217,4418,4773,5238,,6275,7589,7655,8248,9091,69321,10907,11353,11734,42,1926,1921,42,5,2225,10,57,42,-1,42,6,6,1158,-1,12,57,1158,17,17,17,19,18,15
15,912,BONNOTTE Eric,UFO,V1 H,16,FR,24:27:36,03:21:30.000000,2909,2000,2740,3028,3497,4918,4906,5455,5760,122,7323,7588,7759,8349,,9055,9159,9289,10470,10952,70317,11500,11700,12090,1411,1360,1219,614,2306,56,42,10,15,17,1890,1218,1215,12,-1,1157,15,17,18,18,18,17,17,19
16,916,CERCUEIL Michel,CAF ISERE - UFO,SE H,16,FR,24:27:36,03:21:30.000000,2193,1221,1651,1934,2331,3519,3699,4589,4838,121,6413,6581,6685,6922,,7374,7856,7919,8741,9502,69304,10669,11396,12090,1158,2306,1363,5,2236,42,6,15,11,54,1216,112,28,28,-1,1216,1155,18,19,19,19,15,19,18
17,926,HOBLEA Fabien,UFO/CHAMBERY TRIATHLON,V1 H,16,Fr,24:27:36,03:21:30.000000,1929,1199,1716,1885,2271,3367,3620,4591,4840,120,6415,6587,6683,7021,,7376,7856,7922,8742,9504,69311,10657,11388,12090,2299,2469,2306,10,1363,6,12,11,10,1216,1156,1217,60,1217,-1,60,17,19,39,23,15,14,14,17
18,2262,BERNARD Guillaume,GUCEM,SE H,16,FR,24:27:36,03:21:30.000000,2279,1461,2054,2002,2152,3486,3517,4257,4402,122,6475,6682,6722,7039,,7430,7859,7948,9043,9638,69314,10666,11397,12090,1357,1216,42,457,57,12,1140,56,28,41,11,28,112,60,-1,23,18,23,23,16,14,16,16,16
19,2304,BAGNOUD Gérard,,SE H,20,CH,24:43:29,03:37:23.000000,2245,1288,2210,2629,3001,4298,4405,4723,5115,118,7162,6899,7088,7636,,8691,9120,9274,10719,11360,70645,12070,12454,13043,1,1,34,161,10,1354,28,26,1361,61,1215,60,12,23,-1,28,19,13,26,21,23,23,20,20
20,3017,GIRAUD-SAUVEUR Herve,EMBRUN TRIATHLON,SE H,21,FR,24:55:18,03:49:12.000000,2222,1341,1989,2015,2337,3265,3462,4232,4651,119,6595,6924,7861,8787,,9798,10099,10144,10598,10980,70280,11900,12687,13752,1919,42,170,564,170,26,15,28,1156,1410,60,12,23,26,-1,17,60,57,28,14,21,21,21,21
21,39,BAUER Daniel,PAYS VIGANAIS ENDURANCE NATURE,V1 H,22,FR,24:55:40,03:49:34.000000,2346,1486,2249,2730,3503,4895,5080,5699,6218,121,7538,7814,7907,8365,,9052,9436,9744,11084,11799,71184,12927,13613,13774,18,34,1923,57,42,15,56,12,60,32,28,56,1360,17,-1,18,23,26,16,26,16,20,23,22
22,2264,PELMONT Francis,DAUPHINE ORIENTATION,V1 H,23,FR,25:03:44,03:57:38.000000,2217,1103,1655,1999,2183,3539,3472,4111,4270,0,5728,5789,5950,6512,,7071,7876,7968,9459,10394,70029,11801,12829,14258,119,119,2236,56,28,28,11,1348,4,49,6,23,1216,25,-1,19,28,28,14,39,26,22,22,23
23,1584,IRAZABAL BASTERRETXEA asier,ALDATZ-GORA MT,SE H,24,Es,25:17:56,04:11:50.000000,2700,1973,2505,2836,3557,4752,4968,5442,5780,121,7085,7111,7200,8016,,8497,9005,9519,11068,12232,71712,13790,14296,15110,80,80,10,117,116,118,26,6,26,43,56,25,25,18,-1,26,26,1217,21,20,20,26,26,24
24,995,HERRY Karine,Team LAFUMA / GREEN MAGMA,SE F,25,FR,25:22:20,04:16:14.000000,2245,1352,1851,1870,2270,3357,3496,4219,4743,122,5652,5821,6132,7019,,7857,8915,9478,11013,12028,71574,13598,14369,15374,1913,1157,5,26,1920,1910,1902,60,56,21,12,1362,56,56,-1,13,13,1082,20,28,22,28,28,25
25,2336,GONDAS Ondrej,ULTRARUN SUDTIROL,V2 H,26,SI,25:27:28,04:21:22.000000,2310,1355,1662,1658,2122,2941,3130,3609,4031,61,6172,6098,6349,6891,,7524,7915,8124,10153,11236,70526,12944,13901,15682,34,2311,119,34,119,115,60,1151,6,16,1412,1415,26,19,-1,25,25,464,25,22,28,25,24,26
26,10,ERNZEN Jean-Pierre,CELTIC DIEKIRCH,V1 H,27,LU,25:29:03,04:22:57.000000,2259,1173,1648,2320,3137,5045,5521,6513,7020,35007,7996,8285,8538,9292,,9865,11305,11189,12235,12896,72569,14391,15160,15777,490,106,57,472,34,34,116,4,12,23,25,26,1413,13,-1,24,24,20,24,25,25,24,25,27
27,36,TISSOT Laurent,SMON/UFO,SE H,28,FR,25:32:53,04:26:47.000000,2187,1067,1565,1699,1900,3067,3081,3632,3817,31652,4968,5360,5639,6332,,7185,7887,8226,10264,11410,71187,13130,14194,16007,39,170,56,28,56,59,1010,116,23,12,23,14,14,1218,-1,464,459,16,22,24,39,32,32,28
28,2535,PILLONEL Etienne,TRI TEAM FRIBOURG,SE H,29,CH,25:35:11,04:29:05.000000,2782,2231,3080,3673,4170,5498,5708,6388,6715,119,7882,7826,8060,8726,,9727,10323,10762,12228,13140,72562,14468,15287,16145,2304,1921,28,114,26,11,4,1401,1216,114,1359,34,18,14,-1,20,20,60,31,31,24,27,27,29
29,2128,SANTUCCI Pierre Mathieu,Team Montrail-Sport Poretta,V2 H,30,FR,25:35:33,04:29:27.000000,2075,1106,1744,2250,2203,3347,3532,4499,4826,,6343,6727,7397,8321,,9438,10096,9987,12847,13823,73764,15855,16264,16167,1154,2307,116,15,1218,21,34,23,115,-1,14,1709,17,32,-1,31,16,25,451,27,31,31,29,30
30,2268,BAUMANN Ryan,,SE H,31,CH,25:38:08,04:32:02.000000,2329,1521,2212,2631,3042,4383,4585,5229,5418,118,7164,6898,7092,7760,,8810,9483,9659,11779,12630,72294,14413,15613,16322,1710,105,15,25,60,169,1186,1210,1414,64,26,13,19,20,-1,32,22,24,57,29,32,29,31,31
31,1390,REY Patrick,7 LIEUES AVENTURES,V1 H,32,FR,25:39:34,04:33:28.000000,2314,1451,1915,1970,2353,3521,3663,4234,4681,122,6598,6711,7171,7633,,8815,10052,10690,12529,13239,72334,14133,15144,16408,2300,1155,55,18,19,4,951,66,19,24,34,17,13,31,-1,1217,31,31,1138,32,29,39,33,32
32,3105,COCHARD Bertrand,TEAM LES HEMERODROMES,SE H,33,FR,25:39:50,04:33:44.000000,2205,1233,1947,2685,3616,5363,5823,6613,7228,36100,9137,9594,10155,11199,,12455,12700,12886,14467,15354,74625,16038,16252,16424,30,15,1685,4,1685,1675,21,25,66,18,30,18,34,1415,-1,66,34,22,29,30,27,34,30,33
33,9,BERTOLI MATTEO,ASS.SPORTIVA FREE-ZONE,SE H,34,IT,25:43:47,04:37:41.000000,1994,802,1207,1689,2087,3196,3370,4222,4508,121,6246,6247,6755,8238,,9268,9570,10831,13177,14192,0,15695,16345,16661,5,28,80,17,11,1407,1408,34,34,590,17,19,20,24,-1,1361,32,30,27,35,35,30,34,34
34,1808,LESERVOISIER patrick,CA AMBILLY,V1 H,35,FR,26:05:48,04:59:42.000000,2759,2180,2648,2902,3829,5324,5817,6619,7112,35299,9044,8912,9160,9491,,10399,11922,12141,13157,14176,73507,16167,16878,17982,1156,116,51,518,23,30,23,1664,21,15,18,32,31,66,-1,14,14,21,60,34,30,33,39,35
35,28,KAYSER Simone,,V2 F,36,LU,26:05:58,04:59:52.000000,2880,2372,3516,4185,4759,6333,6603,7368,7793,35797,8585,9053,9468,10799,,11601,12607,12938,13871,14872,74155,16118,16763,17992,73,11,60,32,30,1209,119,119,1683,30,13,30,66,34,-1,22,30,14,32,57,38,37,37,36
36,29,KAYSER Marc,,V2 H,37,LU,26:05:59,04:59:53.000000,2877,2374,3518,4173,4758,6335,6601,7370,7798,35794,8591,9054,9470,10801,,11600,12608,12939,13875,14873,74151,16104,16759,17993,51,488,1218,11,15,65,25,21,32,460,116,116,32,30,-1,16,21,66,30,36,37,36,36,37
37,2255,FAURE Jean-Francois,CLUB OMNISPORT ARPAJONNAIS,V1 H,38,FR,26:11:30,05:05:24.000000,2530,1807,2089,2219,2988,3903,4466,5098,5466,120,7228,7434,7985,8728,,9991,10763,11197,13151,15012,74150,16249,17128,18324,1182,51,1158,23,25,25,19,32,25,13,19,31,24,16,-1,34,1292,32,38,37,36,35,35,38
38,1791,FATTON Christian,CCAP-NEW BALANCE,V1 H,39,CH,26:15:31,05:09:25.000000,2018,618,676,786,1374,2152,2323,2653,3083,31025,3630,4004,4343,5077,,5925,6617,7102,9145,11241,71603,14621,16432,18565,170,5,105,19,18,18,66,19,30,6,21,20,30,464,-1,30,66,29,56,38,42,38,38,39
39,1680,LANEY Tim,,V1 H,40,GB,26:15:41,05:09:35.000000,2386,1673,2240,2667,3355,5029,5489,6870,7421,35446,8784,9363,9953,11087,,12032,12697,13455,15051,15694,75153,17019,17870,18575,1914,23,85,403,4,19,30,30,17,1679,32,21,1707,22,-1,1218,29,34,35,42,33,42,40,40
40,2384,ATKINSON David,NORTHUMBERLAND FELL RUNNERS,V1 H,41,GB,26:28:07,05:22:01.000000,2621,2058,3045,4339,5439,8364,9201,11024,12102,40057,13970,14272,14508,15757,,16022,16476,16766,17692,18167,77818,18987,19144,19321,134,30,27,60,17,17,18,17,18,1158,1217,66,1217,1219,-1,29,1156,56,34,464,57,57,42,41
41,6,GAYLORD Topher,THE NORTH FACE TEAM,SE H,42,US,26:29:59,05:23:53.000000,1862,727,1101,1097,1726,2581,2710,2902,3387,31453,4546,7187,7906,8896,,9822,11652,12564,13664,15159,74563,16802,17871,19433,1930,85,17,21,21,32,32,18,118,83,66,1219,116,1362,-1,21,56,27,42,56,40,40,46,42
42,66,LESTRADE Stephane,XTTR LE MONT DORE,SE H,43,FR,26:35:27,05:29:21.000000,2454,1613,2372,2920,3310,4889,5046,5829,6215,120,7829,8481,8987,10384,,11603,12338,13151,15429,16487,76403,18082,19044,19761,2229,490,23,85,1158,23,17,1155,20,73,51,24,16,29,-1,42,38,38,36,33,56,46,57,43
43,1695,ZAUGG Jean Marc,ALCATEL SPACE RUNNER,SE H,44,FR,26:41:09,05:35:03.000000,2882,2535,3392,3992,4592,6287,6602,7149,7726,35779,8721,8937,9277,10245,,11349,12182,12573,15166,16548,76266,18076,18897,20103,55,60,4,66,32,1149,1614,83,1160,3,24,42,464,38,-1,27,27,1218,37,60,60,51,45,44
44,2309,BANFI Jean-Claude,,V1 H,45,FR,26:41:10,05:35:04.000000,2451,1956,2547,2748,3308,4582,4911,5392,5759,121,7815,8484,9279,10540,,11428,12417,13138,15365,16314,76120,18072,18894,20104,56,1215,26,566,85,1151,953,13,82,2,20,38,21,116,-1,38,116,116,51,40,54,45,44,45
45,3221,DURAND Bruno,CHEVALIERS DU VENT,V1 H,46,FR,26:42:35,05:36:29.000000,2178,1448,2279,2866,3583,5095,5549,6276,6981,35122,9640,10055,10695,11616,,12808,14037,14107,16292,16838,76399,17949,18798,20189,129,1683,106,55,66,1884,83,20,13,1,31,51,42,21,-1,116,51,35,66,54,51,44,43,46
46,2717,BENOIT-LIZON Alain,AMICALE DES PENNES MIRABEAU,V1 H,47,Fr,26:50:56,05:44:50.000000,3093,2712,3430,3920,4429,6193,6632,7658,8326,36393,10462,10459,10759,11316,,12060,13082,13569,15749,17024,76723,18999,19811,20690,46,2236,18,470,1160,82,14,1153,14,1892,38,464,22,42,-1,56,42,51,33,51,45,43,51,47
47,79,BRAGG Jez,TRAIL RUNNING ASSOCIATION,SE H,48,GB,26:50:59,05:44:53.000000,2612,1966,2270,2625,3357,4591,5325,6485,7310,35397,9516,9672,10141,11002,,11976,12785,13457,15635,16715,76389,18288,19529,20693,2301,10,30,366,106,38,13,14,31,8,16,16,38,1162,-1,35,83,42,61,66,44,54,41,48
48,1348,BOISSONNET Marc,,V1 H,49,FR,26:51:48,05:45:42.000000,2590,1977,3333,4064,4710,6641,6718,7427,7765,35672,10060,10293,10460,11200,,11843,12780,13178,15624,16621,76359,18265,19522,20742,1409,4,1160,83,79,13,85,1212,1158,1909,1680,1162,51,51,-1,1161,35,44,54,45,58,49,53,49
49,37,POIRIER Bruno,LES CHEVALIERS DU VENT,V1 H,50,FR,26:54:29,05:48:23.000000,2286,1434,2168,3422,3648,5703,6017,7048,7438,35367,9512,10093,10662,11817,,12774,13646,14251,15918,16995,76926,18949,19809,20903,28,134,1922,364,1416,14,1591,463,463,1705,464,83,29,27,-1,51,112,1162,53,53,53,53,54,50
50,69,HUDRY Jean Francois,SANS,V1 H,51,FR,26:57:49,05:51:43.000000,2100,1084,1624,2293,2964,4128,4333,5202,5757,121,7006,7481,8002,9283,,10472,11451,12283,14358,16031,75993,18003,19102,21103,116,27,1416,105,83,84,1012,38,38,110,1158,22,1161,83,-1,83,1101,118,118,43,49,48,49,51
51,117,FAIVRE Hervé,,SE H,52,FR,26:58:07,05:52:01.000000,2331,1616,2875,3609,4354,6115,8436,9491,10091,38171,13018,12998,13328,13732,,14302,14624,14862,17523,18700,77787,19361,19752,21121,1152,56,318,38,1894,51,955,51,1218,9,22,29,83,112,-1,112,1157,83,40,44,48,56,48,52
52,11,SCHWEIZER Werner,OXYGENE ANNEMASSE,V3 H,53,CH,26:58:10,05:52:04.000000,2313,1619,2405,3293,4371,6091,6681,7334,7977,36025,9375,9809,10151,11210,,11779,12730,13225,14861,16411,76270,18274,19379,21124,1677,1920,79,30,1418,317,51,85,84,7,83,1160,27,35,-1,118,44,112,44,49,46,50,52,53
53,2704,MERKER Joël,MASSIF DE L'ETOILE,SE H,54,FR,26:58:42,05:52:36.000000,2989,2624,3713,4194,4935,6345,6661,7328,7987,36053,9444,9700,10193,11102,,12246,12753,12961,14610,16016,75950,18184,19383,21156,2465,18,25,51,318,1211,20,135,134,5,45,27,1159,118,-1,44,118,33,58,58,43,41,50,54
54,1589,FRITSCHE Volker,TS-LICHTENFELS,V1 H,55,DE,27:05:12,05:59:06.000000,2146,1284,1598,2080,3143,4540,5221,6258,7034,35506,9764,9891,10582,11853,,13203,14642,14884,15673,17100,76754,19371,19836,21546,17,2013,83,27,51,1153,420,31,1892,1215,43,135,43,75,-1,45,43,36,45,48,66,60,47,55
55,2544,CALMBACH Uli,,V1 H,56,DE,27:08:38,06:02:32.000000,2147,1176,1559,1543,2102,,3104,3554,4055,120,5299,5771,6254,7035,,10047,10708,11125,13154,15281,75172,18509,20195,21752,33,83,1894,79,105,-1,79,1867,51,37,135,43,118,44,-1,1414,75,37,43,46,47,47,55,56
56,2799,BURETTE Pierre,RANDOMAN DU CHERAN,V1 H,57,Fr,27:10:49,06:04:43.000000,2438,1226,1463,1525,1663,2564,2588,2959,3224,31266,4424,4442,4775,5639,,5986,7352,8106,12085,14387,74772,16935,18806,21883,2302,17,1930,63,1927,62,38,45,45,11,29,45,135,43,-1,75,45,54,49,61,55,58,58,57
57,2286,PITSCHEIDER Stephan,ULTRARUN SUDTIROL,V1 H,58,IT,27:17:33,06:11:27.000000,3168,3044,4070,5062,6244,7984,8478,9000,9849,38024,10520,10512,11168,11657,,12711,13627,13892,15170,16624,76267,19048,19838,22287,488,1892,2307,260,1922,460,106,24,16,55,1160,118,35,1159,-1,37,61,61,48,50,50,52,56,58
58,1508,CHAPEAU Christian,AVIA CLUB ISSY LES MOULINEAUX,SE H,59,Fr,27:19:12,06:13:06.000000,2860,2535,3066,3623,4402,6456,6848,7865,8284,36521,10437,10647,11108,11920,,12907,13525,14199,16973,18530,78009,19771,20490,22386,105,57,1928,553,38,78,31,16,24,10,27,1159,1158,63,-1,36,1098,75,55,47,67,55,59,59
59,1853,DE PREVILLE Benoit,SPORT NATURE ROCHE VILAINE,SE H,60,FR,27:22:20,06:16:14.000000,2229,1148,1640,2008,2150,3199,3221,3848,4011,31731,4966,5362,5645,6465,,7037,7864,9361,12493,15672,75689,18995,20802,22574,23,33,492,104,464,20,311,79,43,40,118,1418,1681,45,-1,43,36,45,47,55,61,66,60,60
60,22,RUBILONI Gilles,C N P TRI,V1 H,61,FR,27:35:55,06:29:49.000000,2332,1501,2227,2623,3388,4894,5498,6594,7416,35741,8875,9620,10137,10833,,11885,12510,12967,14582,16928,77163,19685,20970,23389,21,77,32,571,20,31,135,63,22,27,1157,75,44,119,-1,1158,37,43,1142,1158,52,67,61,61
61,2682,SPREAFICO Carlo,TRIATHLONLECCO,V1 H,62,IT,27:36:10,06:30:04.000000,2970,2977,4351,5130,6089,8014,8473,9386,10089,38176,13022,13117,13443,14030,,14886,15857,16221,19044,20066,79142,20989,22072,23404,60,1928,490,14,14,105,63,318,1157,1357,75,35,45,36,-1,53,40,49,50,118,63,61,67,62
62,1275,ALMGREN Tor,,V1 H,63,SE,27:40:12,06:34:06.000000,2241,1450,1988,2431,3026,4229,4706,5517,6306,120,8846,9069,9594,10525,,12132,13497,14077,16278,18238,77795,20025,21545,23646,85,55,11,405,1220,134,16,1892,63,58,1415,119,119,37,-1,49,33,53,75,67,41,59,66,63
63,2010,UGARTE AZKARRAGA Luis Maria,,V1 H,64,Es,27:40:27,06:34:21.000000,2698,2179,3355,4417,5445,7356,8010,9327,10353,38579,12578,12829,13120,13965,,15132,15680,16032,17795,19120,78538,20590,21857,23661,4,1159,33,365,63,55,45,22,29,4,318,44,36,1223,-1,1222,53,40,116,41,59,63,63,64
64,2413,RICHARDS Mark,HEADINGTON ROAD RUNNERS,V1 H,65,GB,27:45:06,06:39:00.000000,3175,3378,4554,6139,7138,9184,9651,10745,11429,39476,13762,14186,14869,15949,,17130,18295,18909,20843,21653,81089,22352,23278,23940,1885,1922,63,13,1923,45,24,1152,105,1154,36,1683,37,61,-1,61,54,48,1139,1159,75,72,64,65
65,31,MAILLARD Pierre-Andre,CARE VEVEY,V1 H,66,CH,27:45:08,06:39:02.000000,2557,1648,1995,2053,2502,3351,3529,4213,4488,121,6773,6960,7093,8111,,8972,10106,10591,14413,16119,76721,19453,21248,23942,15,20,21,304,31,48,43,43,75,1214,37,1223,1221,318,-1,48,49,74,63,63,71,71,73,66
66,891,SIGNORIO Patricia,AKILEINE,V1 F,67,FR,27:45:51,06:39:45.000000,2742,2253,3145,4058,5119,7052,7747,8940,9764,38071,13397,13364,13444,13714,,14204,14622,14891,16287,17479,77069,19651,21246,23985,1936,1413,2308,368,27,1409,169,118,117,26,84,36,75,1418,-1,40,48,47,67,59,72,69,69,67
67,67,BOSSONNEY Denis,LE CHABLE BEAUMONT,V1 H,68,FR,27:47:16,06:41:10.000000,3382,3918,5783,7145,8083,10462,11296,12258,12957,41042,14789,14891,15299,15880,,16630,17255,17461,18633,19928,79371,21746,22775,24070,1212,2308,66,311,1162,24,22,106,46,314,1221,37,63,1160,-1,47,74,1159,46,75,73,64,72,68
68,906,CAUSSARIEU Valery,UFO (VAL),SE H,69,FR,27:48:08,06:42:02.000000,2563,1955,2703,3162,4010,5596,6022,6878,7666,35837,9734,10330,10673,11655,,12896,14060,14404,16662,18722,78408,20587,22024,24122,79,318,134,61,55,43,952,55,317,82,44,63,1416,48,-1,63,47,1219,69,52,69,73,70,69
69,65,PLANES Lionel,UFO - dit Yoyo,SE H,70,FR,27:48:09,06:42:03.000000,2699,2521,3504,4130,4774,6590,7052,8176,8795,37233,11046,11413,11934,12886,,14186,15062,15717,17562,18895,78643,20705,22026,24123,10,1937,135,48,492,60,55,46,1417,44,40,318,318,1363,-1,1159,1099,58,59,69,78,70,71,71
70,103,DOIGNON Jean-Luc,GAG,V2 H,70,FR,27:48:09,06:42:03.000000,2500,2163,2968,3557,4579,6295,6737,7717,8411,37086,11072,11338,11819,12990,,14091,14769,15314,17238,18981,78398,20584,22028,24123,77,21,19,20,135,22,1188,75,27,1413,119,40,40,1683,-1,318,315,1160,1140,116,64,75,62,72
71,2662,MASSON Yves,LOU ATHLE,V1 H,70,FR,27:48:09,06:42:03.000000,2422,1966,3052,4097,4729,6914,7428,8404,8992,37194,11268,11384,11929,12877,,13913,14782,15318,17252,18979,78404,20581,22025,24123,1921,129,1220,31,13,1150,48,29,55,1220,63,84,1361,40,-1,54,63,63,83,84,84,62,75,70
72,982,EVENO Lionel,LEGENDRE BRETAGNE,V1 H,73,FR,27:49:02,06:42:56.000000,2087,1523,2261,3143,3998,5383,5947,7053,7653,35840,9802,10166,11183,12312,,13842,14778,15300,17241,18980,78406,20599,22019,24176,63,25,38,567,1159,16,40,1402,120,117,61,1363,61,54,-1,119,59,46,71,78,70,83,68,73
73,334,VAN DER VEKEN Pascal,CE CDO,V1 H,74,BE,27:49:42,06:43:36.000000,2904,2478,3432,4203,4883,6697,7116,7954,8531,36611,10058,10480,10979,11831,,12779,13075,13535,18274,19992,79616,21970,23552,24216,318,1716,1162,40,77,40,118,1404,1222,33,35,33,84,135,-1,1362,58,59,73,70,83,78,76,74
74,1212,BAILLET Olivier,,SE H,75,Fr,27:50:33,06:44:27.000000,2607,2242,2960,3297,4183,5291,5758,6383,6821,123,8295,8903,9550,10196,,11502,12340,13051,16096,18628,78188,20749,22227,24267,1915,26,1159,565,45,27,61,170,77,48,1886,61,48,33,-1,33,119,50,72,83,62,68,83,75
75,1381,LESAGE Sébastien,,SE H,76,Fr,28:01:18,06:55:12.000000,2493,1962,3200,4372,4923,6954,7425,8362,9109,37098,11212,11802,12399,13391,,14484,15315,16087,19180,20523,80338,22072,22902,24912,20,79,1942,132,43,1913,27,126,35,1411,85,121,85,49,-1,85,50,69,84,72,68,85,78,76
76,3132,CANALS JEAN CLAUDE,,V1 H,77,Fr,28:02:06,06:56:00.000000,2239,1234,2111,2784,3243,5323,5660,6511,7110,35461,11282,11790,12401,13393,,14489,15312,16089,20235,21240,80813,22572,23678,24960,25,2309,77,33,40,46,1189,48,1427,46,121,1416,53,53,-1,1155,1095,119,52,73,85,74,65,77
77,50,MOTTA Alberto,COURMAYEUR TRAILERS,V2 H,78,IT,28:06:46,07:00:40.000000,2297,1631,2549,3288,3898,5688,5964,7030,7482,35533,9518,10334,10861,11918,,12973,14254,14889,17783,18883,78536,21445,23236,25240,27,1740,1245,459,48,125,46,77,83,108,1360,48,33,47,-1,58,85,318,70,71,74,79,79,78
